PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,62,25.625,-9.76,-9.6,-7.16,3.41,13.72,15.13,16.89,15.13,9.34,5.04,-3.49,-9,3.3
TS,1984,62,26.25,-9.74,-9.72,-7.17,3.3,13.65,15.08,16.85,15.07,9.33,4.92,-3.47,-9.29,3.23
TS,1984,62,26.875,-9.76,-9.92,-7.11,3.11,13.55,14.98,16.79,14.95,9.27,4.8,-3.5,-9.69,3.12
TS,1984,62,27.5,-9.92,-10.07,-7.04,3.09,13.51,14.96,16.81,14.93,9.27,4.72,-3.75,-10.04,3.04
TS,1984,62,28.125,-10.25,-10.37,-7.06,3.52,13.96,15.55,17.33,15.4,9.58,4.77,-4.4,-10.61,3.12
TS,1984,62,28.75,-10.55,-10.82,-7.1,4,14.46,16.31,17.94,15.94,9.91,4.84,-5.13,-11.32,3.21
TS,1984,62,29.375,-10.56,-11.11,-7.03,4.03,14.39,16.33,18.04,15.87,9.87,4.76,-5.44,-11.77,3.12
TS,1984,62.5,21.875,-6.9,-5.21,-6.46,2.03,10.51,12.66,14.52,13.83,8.53,5.44,0.32,-3.72,3.8
TS,1984,62.5,22.5,-9.21,-6.47,-7.07,2.16,11.72,12.9,14.64,13.35,8.19,4.61,-1.31,-6.24,3.11
TS,1984,62.5,23.125,-9.51,-7.18,-7.16,2.12,11.91,13.11,14.86,13.42,8.21,4.46,-1.84,-7.07,2.94
TS,1984,62.5,23.75,-9.71,-7.92,-7.35,1.81,12,13.19,14.96,13.38,8.17,4.28,-2.42,-7.87,2.71
TS,1984,62.5,24.375,-10.08,-8.47,-7.48,1.98,12.28,13.58,15.4,13.68,8.32,4.3,-2.94,-8.29,2.69
TS,1984,62.5,25,-10.39,-8.94,-7.61,2.08,12.5,13.87,15.73,13.92,8.42,4.26,-3.4,-8.8,2.64
